slug	version	glb_url	crosswalk_url
pancreas-male	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.3/assets/3d-vh-m-pancreas.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/pancreas-male/v1.3/assets/crosswalk.csv
pelvis-female	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/pelvis-female/v1.3/assets/3d-vh-f-pelvis.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/pelvis-female/v1.3/assets/crosswalk.csv
pelvis-male	v1.3	https://cdn.humanatlas.io/digital-objects/ref-organ/pelvis-male/v1.3/assets/3d-vh-m-pelvis.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/pelvis-male/v1.3/assets/crosswalk.csv
placenta-full-term-female	v1.1	https://cdn.humanatlas.io/digital-objects/ref-organ/placenta-full-term-female/v1.1/assets/3d-vh-f-placenta-full-term.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/placenta-full-term-female/v1.1/assets/crosswalk.csv
prostate-male	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.2/assets/3d-vh-m-prostate.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.2/assets/crosswalk.csv
renal-pelvis-female-left	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-female-left/v1.0/assets/3d-vh-f-renal-pelvis-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-female-left/v1.0/assets/crosswalk.csv
renal-pelvis-female-right	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-female-right/v1.0/assets/3d-vh-f-renal-pelvis-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-female-right/v1.0/assets/crosswalk.csv
renal-pelvis-male-left	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-male-left/v1.0/assets/3d-vh-m-renal-pelvis-l.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-male-left/v1.0/assets/crosswalk.csv
renal-pelvis-male-right	v1.0	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-male-right/v1.0/assets/3d-vh-m-renal-pelvis-r.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/renal-pelvis-male-right/v1.0/assets/crosswalk.csv
skin-female	v1.5	https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.5/assets/3d-vh-f-skin.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.5/assets/crosswalk.csv
skin-male	v1.4	https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.4/assets/3d-vh-m-skin.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.4/assets/crosswalk.csv
small-intestine-female	v1.2	https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-female/v1.2/assets/3d-vh-f-small-intestine.glb	https://cdn.humanatlas.io/digital-objects/ref-organ/small-intestine-female/v1.2/assets/crosswalk.csv
