# Z-Anatomy structure -> Latin name — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-latin-crosswalk.mjs --src <parts-catalog.json>
# Apply:    node scripts/apply-crosswalk.mjs public/models/z-anatomy.ao.glb \
#             public/models/z-anatomy-regions.ao.glb --tsv docs/z-anatomy-latin.tsv --field name_lat
#
# Joined from Anatomed (pitfa19/anatomed-mcp, CC BY-SA 4.0) by exact match on
# (name, side) after ordinal normalisation. The nomenclature is Z-Anatomy's;
# Anatomed extracted it. Both are credited — see licences.json and D24.
name	side	name_lat
Deep artery of penis	right	Arteria profunda penis
Deep branch of radial nerve	left	Ramus profundus nervi radialis
Deep branch of radial nerve	right	Ramus profundus nervi radialis
Deep branch of ulnar nerve	left	Ramus profundus nervi ulnaris
Deep branch of ulnar nerve	right	Ramus profundus nervi ulnaris
Deep cervical artery	left	Arteria cervicalis profunda
Deep cervical artery	right	Arteria cervicalis profunda
Deep dorsal vein of penis		Vena dorsalis profunda penis
Deep external pudendal artery	left	Arteria pudendalis externa profunda
Deep external pudendal artery	right	Arteria pudendalis externa profunda
Deep femoral artery	left	Arteria profunda femoris
Deep femoral artery	right	Arteria profunda femoris
Deep femoral vein	left	Vena profunda femoris
Deep femoral vein	right	Vena profunda femoris
Deep fibular nerve	left	Nervus fibularis profundus
Deep fibular nerve	right	Nervus fibularis profundus
Deep head of flexor pollicis brevis	left	Caput profundum flexoris brevis pollicis
Deep head of flexor pollicis brevis	right	Caput profundum flexoris brevis pollicis
Deep head of pronator teres	left	Caput profundum pronatoris teretis
Deep head of pronator teres	right	Caput profundum pronatoris teretis
Deep palmar arch	left	Arcus palmaris profundus
Deep palmar arch	right	Arcus palmaris profundus
Deep part of masseter	left	Pars profunda masseteris
Deep part of masseter	right	Pars profunda masseteris
Deep part of tibial collateral ligament	left	Pars profunda ligamenti collateralis tibialis
Deep part of tibial collateral ligament	right	Pars profunda ligamenti collateralis tibialis
Deep plantar artery	left	Arteria plantaris profunda
Deep plantar artery	right	Arteria plantaris profunda
Deep transverse metacarpal ligament	left	Ligamentum metacarpeum transversum profundum
Deep transverse metacarpal ligament	right	Ligamentum metacarpeum transversum profundum
Deep transverse metatarsal ligament	left	Ligamentum metatarseum transversum profundum
Deep transverse metatarsal ligament	right	Ligamentum metatarseum transversum profundum
Deep venous palmar arch	left	Arcus venosus palmaris profundus
Deep venous palmar arch	right	Arcus venosus palmaris profundus
Deltoid fascia	left	Fascia deltoidea
Deltoid fascia	right	Fascia deltoidea
Deltoid region	left	Regio deltoidea
Deltoid region	right	Regio deltoidea
Deltopectoral triangle	left	Trigonum deltopectorale
Deltopectoral triangle	right	Trigonum deltopectorale
Depressor anguli oris	left	Depressor anguli oris
Depressor anguli oris	right	Depressor anguli oris
Depressor labii inferioris	left	Depressor labii inferioris
Depressor labii inferioris	right	Depressor labii inferioris
Depressor septi nasi	left	Depressor septi nasi
Depressor septi nasi	right	Depressor septi nasi
Descending branch of lateral circumflex femoral artery		Ramus descendens arteriae circumflexae lateralis femoris
Descending branch of left colic artery		Ramus descendens arteriae colicae sinistrae
Descending colon		Colon descendens
Descending palatine artery	right	Arteria palatina descendens
Descending part of iliofemoral ligament	left	Pars descendens ligamenti iliofemoralis
Descending part of iliofemoral ligament	right	Pars descendens ligamenti iliofemoralis
Descending part of trapezius muscle	left	Pars descendens musculi trapezii
Descending part of trapezius muscle	right	Pars descendens musculi trapezii
Diaphragm		Diaphragma
Diaphragmatic fascia		Fascia diaphragmatica
Distal phalanx of fifth finger of foot	left	Phalanx distalis quintum digitorum pedis
Distal phalanx of fifth finger of foot	right	Phalanx distalis quintum digitorum pedis
Distal phalanx of first finger of foot	left	Phalanx distalis primum digitorum pedis
Distal phalanx of first finger of foot	right	Phalanx distalis primum digitorum pedis
Distal phalanx of fourth finger of foot	left	Phalanx distalis quartum digitorum pedis
Distal phalanx of fourth finger of foot	right	Phalanx distalis quartum digitorum pedis
Distal phalanx of second finger of foot	left	Phalanx distalis secundum digitorum pedis
